id,first_name,last_name,positions,team,salary,fppg,is_injured,game_info,roster_order,_min_exposure,_max_exposure,_min_deviation,_max_deviation,_projected_ownership,is_confirmed_starter,fppg_floor,fppg_ceil,_original_positions
Deshaun Watson,Deshaun,Watson,['QB'],HOU,7500,24.78,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Brandin Cooks,Brandin,Cooks,['WR'],HOU,5600,18.7,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Derrick Henry,Derrick,Henry,['RB'],TEN,9200,23.42,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Patrick Mahomes,Patrick,Mahomes,['QB'],KCC,8200,25.85,False,,,,,,,,,,,
Myles Gaskin,Myles,Gaskin,['RB'],MIA,5900,19.31,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Tyreek Hill,Tyreek,Hill,['WR'],KCC,9100,21.35,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Patrick Mahomes,Patrick,Mahomes,['QB'],KCC,8200,25.85,False,,,,,,,,,,,
David Montgomery,David,Montgomery,['RB'],CHI,5500,19.29,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Tyreek Hill,Tyreek,Hill,['WR'],KCC,9100,21.35,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Josh Allen,Josh,Allen,['QB'],BUF,7100,24.07,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Stefon Diggs,Stefon,Diggs,['WR'],BUF,7500,18.97,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Derrick Henry,Derrick,Henry,['RB'],TEN,9200,23.42,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Patrick Mahomes,Patrick,Mahomes,['QB'],KCC,8200,25.85,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Tyreek Hill,Tyreek,Hill,['WR'],KCC,9100,21.35,False,,,,,,,,,,,
Brandin Cooks,Brandin,Cooks,['WR'],HOU,5600,18.7,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Derrick Henry,Derrick,Henry,['RB'],TEN,9200,23.42,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Taysom Hill,Taysom,Hill,['QB'],NOS,6300,22.42,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Michael Thomas,Michael,Thomas,['WR'],NOS,7000,20.41,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Derrick Henry,Derrick,Henry,['RB'],TEN,9200,23.42,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Patrick Mahomes,Patrick,Mahomes,['QB'],KCC,8200,25.85,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Tyreek Hill,Tyreek,Hill,['WR'],KCC,9100,21.35,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Cooper Kupp,Cooper,Kupp,['WR'],LAR,6100,18.33,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Derrick Henry,Derrick,Henry,['RB'],TEN,9200,23.42,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Patrick Mahomes,Patrick,Mahomes,['QB'],KCC,8200,25.85,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Tyreek Hill,Tyreek,Hill,['WR'],KCC,9100,21.35,False,,,,,,,,,,,
Brandin Cooks,Brandin,Cooks,['WR'],HOU,5600,18.7,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Patrick Mahomes,Patrick,Mahomes,['QB'],KCC,8200,25.85,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Devontae Booker,Devontae,Booker,['RB'],LVR,5500,18.42,False,,,,,,,,,,,
Tyreek Hill,Tyreek,Hill,['WR'],KCC,9100,21.35,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
Patrick Mahomes,Patrick,Mahomes,['QB'],KCC,8200,25.85,False,,,,,,,,,,,
Ezekiel Elliott,Ezekiel,Elliott,['RB'],DAL,28,16.89,False,,,,,,,,,,,
Dalvin Cook,Dalvin,Cook,['RB'],MIN,9500,26.3,False,,,,,,,,,,,
Tyreek Hill,Tyreek,Hill,['WR'],KCC,9100,21.35,False,,,,,,,,,,,
Amari Cooper,Amari,Cooper,['WR'],DAL,21,13.39,False,,,,,,,,,,,
Cooper Kupp,Cooper,Kupp,['WR'],LAR,6100,18.33,False,,,,,,,,,,,
Travis Kelce,Travis,Kelce,['TE'],KCC,7300,17.62,False,,,,,,,,,,,
Davante Adams,Davante,Adams,['WR'],GBP,9000,22.91,False,,,,,,,,,,,
Cowboys Defense,Cowboys,Defense,['DST'],DAL,13,5.24,False,,,,,,,,,,,
