playerid,player,salary,opp,pos,team,fpts,floor,ceil
21604,Ameer Abdullah,4000,JAC,RB,MIN,1.26,0.065,5.4
982405,A.J. Brown,7600,CLE,WR,TEN,15.01,7.9,23.1
328156,Antonio Callaway,3000,CIN,WR,MIA,3.27,0.0,8.0
982346,Ashton Dulin,3000,HOU,WR,IND,0.18,-0.20500000000000002,4.0
37034,Austin Ekeler,7100,NEP,RB,LAC,18.99,9.0,29.9
35425,Alex Erickson,3000,MIA,WR,CIN,1.86,0.21500000000000002,6.1
36910,Anthony Firkser,2500,CLE,TE,TEN,8.07,3.4,13.6
1844676,Antonio Gibson,6800,PIT,RB,WAS,13.81,6.3,22.5
12897,A.J. Green,3100,MIA,WR,CIN,7.13,2.8,13.0
35576,Austin Hooper,3800,TEN,TE,CLE,9.69,4.8,15.6
21742,Adam Humphries,3200,CLE,WR,TEN,8.03,2.9,14.6
1001990,Alec Ingold,4000,NYJ,RB,LVR,2.0,0.25,6.4
982789,Andy Isabella,3200,LAR,WR,ARI,9.81,4.3,16.5
35610,Andy Janovich,4000,TEN,RB,CLE,0.49,-0.1275,4.7
13584,Alshon Jeffery,3000,GBP,WR,PHI,3.45,0.2,8.1
36871,Aaron Jones,7200,PHI,RB,GBP,18.01,7.5,28.6
36998,Alvin Kamara,7000,ATL,RB,NOS,13.48,5.5,22.7
328523,Allen Lazard,5000,PHI,WR,GBP,10.07,4.3,16.7
1844610,Austin Mack,3000,SEA,WR,NYG,0.51,-0.1225,4.3
1844186,Anthony McFarland,4200,WAS,RB,PIT,5.61,0.8,11.7
328212,Anthony Miller,3100,DET,WR,CHI,8.83,3.5,15.3
13576,Alfred Morris,4000,SEA,RB,NYG,2.39,0.1,7.0
11669,Adrian Peterson,4900,CHI,RB,DET,8.18,2.3,14.8
12526,Andre Roberts,3000,SFO,WR,BUF,0.2,-0.2,4.0
18179,Allen Robinson,6700,DET,WR,CHI,17.96,9.7,25.9
11601,Aaron Rodgers,6800,PHI,QB,GBP,20.44,12.8,29.3
36857,Adam Shaheen,2500,CIN,TE,MIA,2.25,0.3125,6.1
16608,Anthony Sherman,4000,DEN,RB,KCC,0.29,-0.1775,4.5
11608,Alex Smith,5100,PIT,QB,WAS,14.97,7.6,22.7
18116,Adam Thielen,7300,JAC,WR,MIN,19.04,10.4,28.1
1844770,Adam Trautman,2500,ATL,TE,NOS,2.19,0.2975,6.2
1849809,Brandon Aiyuk,5400,BUF,WR,SFO,11.67,5.2,19.2
35523,Brandon Allen,4800,MIA,QB,CIN,15.06,7.7,23.5
328392,Braxton Berrios,3000,LVR,WR,NYJ,1.01,0.0025000000000000022,4.9
18281,Brandin Cooks,5600,IND,WR,HOU,18.7,10.4,26.8
982171,Brandon Dillon,2500,JAC,TE,MIN,1.13,0.03249999999999997,4.2
1849700,Bryan Edwards,3000,NYJ,WR,LVR,2.61,0.40249999999999997,7.4
36989,Brian Hill,4800,NOS,RB,ATL,4.68,0.5,10.1
328157,Baker Mayfield,5300,TEN,QB,CLE,17.35,9.5,25.6
21551,Breshad Perriman,3900,LVR,WR,NYJ,11.24,5.0,18.4
328242,Brandon Powell,3000,NOS,WR,ATL,0.86,-0.035,4.6
11615,Ben Roethlisberger,6500,WAS,QB,PIT,18.48,11.1,25.5
328763,Boston Scott,6000,GBP,RB,PHI,5.32,0.7,11.9
982054,Benny Snell,5400,WAS,RB,PIT,13.55,4.9,23.2
1849790,Cam Akers,4500,ARI,RB,LAR,5.67,1.1,12.2
328550,Cameron Batson,3000,CLE,WR,TEN,2.0,0.25,5.7
13639,Cole Beasley,5000,SFO,WR,BUF,13.4,7.0,21.2
328305,Chad Beebe,3500,JAC,WR,MIN,3.34,0.1,8.1
328711,Christian Blake,3000,NOS,WR,ATL,1.98,0.245,6.0
